date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:46	4940/4940	---M--	200	added ('OK')	image/png	etag:W/%22PSA-uuguzujUWW%22	https://www.bookmundi.com/static/favicon/180.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/180.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:47	4619/4619	---M--	200	added ('OK')	image/png	etag:W/%22PSA-XIkWoIsSoi%22	https://www.bookmundi.com/static/favicon/192.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/192.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:47	1285/1285	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aGwgjyIwpe%22	https://www.bookmundi.com/static/favicon/32.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/32.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:47	1927/1927	---M--	200	added ('OK')	image/png	etag:W/%22PSA-NXQjgPHXMd%22	https://www.bookmundi.com/static/favicon/96.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/96.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:48	1020/1020	---M--	200	added ('OK')	image/png	etag:W/%22PSA-MbCWVYLHGR%22	https://www.bookmundi.com/static/favicon/16.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/static/favicon/16.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:49	2354/2354	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20May%202018%2005:01:03%20GMT	https://www.bookmundi.com/files/resized/72x72/ad11cb80d6dbad320d1a1dd06027f489_1525323639.JPG	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/files/resized/72x72/ad11cb80d6dbad320d1a1dd06027f489_1525323639.jpg	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:50	61390/61390	---M--	200	added ('OK')	image/jpeg	etag:%221acc162ab3f94007d3c9e1ea803f104e%22	https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-17499_1580274861.JPG	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-17499_1580274861.jpg	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:52	130738/130738	---M--	200	added ('OK')	image/jpeg	etag:%22c5eeaa577b6a27480fec1c794e51ac18%22	https://d3hne3c382ip58.cloudfront.net/files/rating/uploads/46540/1575705186-117.jpg	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/files/rating/uploads/46540/1575705186-117.jpg	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:53	110262/110262	---M--	200	added ('OK')	image/jpeg	etag:%22af56ae4e7a6a1314191d961341165534%22	https://d3hne3c382ip58.cloudfront.net/files/rating/uploads/45445/1575380039-584.jpg	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/files/rating/uploads/45445/1575380039-584.jpg	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:54	404143/404143	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:51%20GMT	https://www.bookmundi.com/kathmandu/16-days-manaslu-circuit-trekking-3905	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/16-days-manaslu-circuit-trekking-3905.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:57	386127/386127	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:53%20GMT	https://www.bookmundi.com/kathmandu/20-days-ebc-3-high-passes-trek-3908	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/20-days-ebc-3-high-passes-trek-3908.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:57	411878/411878	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:54%20GMT	https://www.bookmundi.com/kathmandu/everest-base-camp-trek-143	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/everest-base-camp-trek-143.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:02:59	405483/405483	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:57%20GMT	https://www.bookmundi.com/kathmandu/everest-base-camp-kalapathar-trek-79	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/everest-base-camp-kalapathar-trek-79.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:00	390148/390148	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:57%20GMT	https://www.bookmundi.com/kathmandu/gokyo-everest-base-camp-trek-4289	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/gokyo-everest-base-camp-trek-4289.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:01	392007/392007	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:58%20GMT	https://www.bookmundi.com/kathmandu/annapurna-base-camp-trek-3839	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/annapurna-base-camp-trek-3839.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:01	387124/387124	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:02:59%20GMT	https://www.bookmundi.com/kathmandu/annapurna-circuit-trek-15-days-5418	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/annapurna-circuit-trek-15-days-5418.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:03	385910/385910	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:03:00%20GMT	https://www.bookmundi.com/kathmandu/everest-panorama-trek-7096	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/everest-panorama-trek-7096.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:04	1177/1177	---M--	200	added ('OK')	image/png	etag:%222bf2de3ce281845e8d70f3d21ad7e562%22	https://d3hne3c382ip58.cloudfront.net/resources/home/press/logos/tech.co.png	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resources/home/press/logos/tech.co.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:04	407082/407082	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:03:01%20GMT	https://www.bookmundi.com/kathmandu/7-day-ghorepani-poon-hill-trek-4091	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/7-day-ghorepani-poon-hill-trek-4091.html	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:05	1496/1496	---M--	200	added ('OK')	image/png	etag:%2230e002d88b1d4021fc0f33934486a83d%22	https://d3hne3c382ip58.cloudfront.net/resources/home/press/logos/travolution.png	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resources/home/press/logos/travolution.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:05	1886/1886	---M--	200	added ('OK')	image/png	etag:%222a749015b6bbcefd93c205fec71a4ce1%22	https://d3hne3c382ip58.cloudfront.net/resources/home/press/logos/forbes.png	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resources/home/press/logos/forbes.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:06	3218/3218	---M--	200	added ('OK')	image/png	etag:%22aa5b7325fba43356d6192d7db28ca03f%22	https://d3hne3c382ip58.cloudfront.net/resources/home/press/logos/independent.png	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resources/home/press/logos/independent.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:06	1778/1778	---M--	200	added ('OK')	image/png	etag:%226a29435bca1f9180857e657f86cd988b%22	https://d3hne3c382ip58.cloudfront.net/resources/home/press/logos/entrepreneur.png	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resources/home/press/logos/entrepreneur.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:07	61386/61386	---M-Z	404	error ('CHttpException')	text/html	date:Sun,%2016%20Aug%202020%2012:03:05%20GMT	https://www.bookmundi.com/kathmandu/POST	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/POST	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:08	61383/61383	---M-Z	404	error ('CHttpException')	text/html	date:Sun,%2016%20Aug%202020%2012:03:06%20GMT	https://www.bookmundi.com/kathmandu/GET	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/GET	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:11	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%2241a84194ae1417cf7625ff166e0c0fc3%22	https://connect.facebook.net/en_US/sdk.js	C:/Users/thinkpad/Desktop/xyz/connect.facebook.net/en_US/sdk.js	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:12	97737/97737	---M-Z	200	added ('OK')	application/javascript	etag:%221dc37899f984d453c1d3d8179829f041+gzip%22	https://platform.twitter.com/widgets.js	C:/Users/thinkpad/Desktop/xyz/platform.twitter.com/widgets.js	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:12	16081/16081	---M-Z	200	added ('OK')	text/css	etag:W/%223ed1-WRcuvyDYrklAKOCFrAs6qFemXvM%22	https://cdn.jsdelivr.net/npm/flatpickr/dist/flatpickr.min.css?v=	C:/Users/thinkpad/Desktop/xyz/cdn.jsdelivr.net/npm/flatpickr/dist/flatpickr.minec92.css	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:14	46363/46363	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b51b-hGSzt/SxO6shDZ/uJ4VkAXbVia0%22	https://unpkg.com/simplebar@4.2.3/dist/simplebar.min.js	C:/Users/thinkpad/Desktop/xyz/unpkg.com/simplebar@4.2.3/dist/simplebar.min.js	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
18:03:15	22219/22219	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Dec%202019%2007:34:19%20GMT	https://www.bookmundi.com/themes/global/resources/images/jane1.png	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/themes/global/resources/images/jane1.png	(from https://www.bookmundi.com/kathmandu/everest-base-camp-trek-3841)
